2016-07-06 17:04:54,146 [Worker-7] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-07-06 17:04:54,146 [Worker-7] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/jinx/Documents/jobs/teacher/nbBase/src/test/resources
2016-07-06 17:08:32,008 [Worker-18] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-07-06 17:08:32,009 [Worker-18] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/jinx/Documents/jobs/teacher/nbBase/src/main/resources
2016-07-06 17:08:32,010 [Worker-18] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-07-06 17:08:32,010 [Worker-18] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/jinx/Documents/jobs/teacher/nbBase/src/test/resources
2016-07-06 17:09:00,263 [Worker-7] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for p6spy:p6spy:jar:2.1.4 is invalid, transitive dependencies (if any) will not be available, enable debug logging for more details
2016-07-06 17:09:00,937 [Worker-7] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-07-06 17:09:00,958 [Worker-7] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/jinx/Documents/jobs/teacher/nbBase/src/main/resources
2016-07-06 17:09:00,996 [Worker-7] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-07-06 17:09:01,064 [Worker-7] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/jinx/Documents/jobs/teacher/nbBase/src/test/resources
2016-07-06 17:10:26,791 [Worker-13] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-07-06 17:10:26,792 [Worker-13] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/jinx/Documents/jobs/teacher/nbBase/src/main/resources
2016-07-06 17:10:26,794 [Worker-13] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-07-06 17:10:26,794 [Worker-13] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/jinx/Documents/jobs/teacher/nbBase/src/test/resources
2016-07-07 09:23:29,162 [Worker-6] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for p6spy:p6spy:jar:2.1.4 is invalid, transitive dependencies (if any) will not be available, enable debug logging for more details
2016-07-07 09:23:29,578 [Worker-6] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-07-07 09:23:29,579 [Worker-6] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/jinx/Documents/jobs/teacher/nbBase/src/main/resources
2016-07-07 09:23:29,580 [Worker-6] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-07-07 09:23:29,581 [Worker-6] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/jinx/Documents/jobs/teacher/nbBase/src/test/resources
